,new_cases_per_million,new_deaths_per_million,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,Africa,Asia,Europe,North America,Oceania,South America
100,2116.729,3.476,1.0314999999999999,0.20350000000000001,4.9,55.24,51.26,11.22,59.26,664.463,39.8,14.952,9.473,16978.068,2.2,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814,0,0,0,1,0,0
101,2148.011,10.427,1.0314999999999999,0.20350000000000001,4.9,55.26,51.3,11.22,59.26,664.463,39.8,14.952,9.473,16978.068,2.2,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814,0,0,0,1,0,0
102,2269.662,0.0,1.0314999999999999,0.20350000000000001,4.9,55.27,51.32,11.22,59.26,664.463,39.8,14.952,9.473,16978.068,2.2,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814,0,0,0,1,0,0
103,1605.795,0.0,1.0314999999999999,0.20350000000000001,4.9,55.29,51.34,11.22,59.26,664.463,39.8,14.952,9.473,16978.068,2.2,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814,0,0,0,1,0,0
104,1456.338,0.0,1.0314999999999999,0.20350000000000001,4.9,55.31,51.37,11.22,59.26,664.463,39.8,14.952,9.473,16978.068,2.2,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814,0,0,0,1,0,0
105,203.116,1.589,3.359,0.066,15.1,57.05,46.31,42.815,23.15,46.858,40.3,14.799,9.788,17167.967,0.5,443.129,5.18,10.5,46.1,97.164,11.0,74.79,0.823,0,0,1,0,0,0
106,384.841,1.8,3.518,0.0705,14.2,57.05,46.31,42.815,23.15,46.858,40.3,14.799,9.788,17167.967,0.5,443.129,5.18,10.5,46.1,97.164,11.0,74.79,0.823,0,0,1,0,0,0
107,528.441,1.589,3.81,0.0771,13.0,57.05,46.31,42.815,23.15,46.858,40.3,14.799,9.788,17167.967,0.5,443.129,5.18,10.5,46.1,97.164,11.0,74.79,0.823,0,0,1,0,0,0
108,778.365,1.8,3.974,0.0935,10.7,57.05,46.31,42.815,23.15,46.858,40.3,14.799,9.788,17167.967,0.5,443.129,5.18,10.5,46.1,97.164,11.0,74.79,0.823,0,0,1,0,0,0
109,871.663,1.694,3.947,0.1168,8.6,57.05,46.31,42.815,23.15,46.858,40.3,14.799,9.788,17167.967,0.5,443.129,5.18,10.5,46.1,97.164,11.0,74.79,0.823,0,0,1,0,0,0
110,880.559,1.589,3.921,0.1405,7.1,57.05,46.31,42.815,23.15,46.858,40.3,14.799,9.788,17167.967,0.5,443.129,5.18,10.5,46.1,97.164,11.0,74.79,0.823,0,0,1,0,0,0
111,621.527,1.271,3.894,0.1566,6.4,57.05,46.31,42.815,23.15,46.858,40.3,14.799,9.788,17167.967,0.5,443.129,5.18,10.5,46.1,97.164,11.0,74.79,0.823,0,0,1,0,0,0
112,2489.784,2.665,8.718,0.439,2.3,78.76,76.4,56.84,50.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,97.164,5.64,81.63,0.931,0,0,1,0,0,0
113,3905.321,4.212,8.115,0.428,2.3,78.84,76.5,57.11,50.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,97.164,5.64,81.63,0.931,0,0,1,0,0,0
